id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
22803766,TBCC-R219,RegressivoAUT_Corporate_05-06-2024T16:53:19,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22805674,TBCC-R220,TBCC-1040 - [Areas] - Get company areas,296786,,5360306,14704840.0,,2024-06-05T18:50:04Z,2024-06-05T18:50:04Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89851304,200755,89851304,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200755,RELATED,,,,,,,,,
22805680,TBCC-R221,TBCC-1003 - [Devices] - Update device level,296786,,5360306,14704887.0,,2024-06-05T18:50:56Z,2024-06-05T18:50:56Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89865746,186072,89865746,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186072,RELATED,,,,,,,,,
22805710,TBCC-R222,TBCC-1000 - [Devices] - Get device by id,296786,,5360306,14706783.0,,2024-06-05T18:52:47Z,2024-06-05T18:52:47Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89993267,186064,89993267,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186064,RELATED,,,,,,,,,
22805826,TBCC-R223,TBCC-988 - [Companies] - Get company by id,296786,,5360306,14706810.0,,2024-06-05T18:59:33Z,2024-06-05T18:59:33Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/90114522,186019,90114522,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186019,RELATED,,,,,,,,,
22805835,TBCC-R224,TBCC-999 - [Devices] - Get devices,296786,,5360306,14706801.0,,2024-06-05T19:00:35Z,2024-06-05T19:00:35Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89904197,186055,89904197,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186055,RELATED,,,,,,,,,
22805848,TBCC-R225,TBCC-995 - [Companies] - Activate contract (company),296786,,5360306,14706827.0,,2024-06-05T19:01:16Z,2024-06-05T19:01:16Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/90087080,186039,90087080,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186039,RELATED,,,,,,,,,
22805867,TBCC-R226,TBCC-993 - Block contract (company),296786,,5360306,14706855.0,,2024-06-05T19:02:44Z,2024-06-05T19:02:44Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/90114067,186030,90114067,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186030,RELATED,,,,,,,,,
22805927,TBCC-R227,TBCC-986 - [Companies] - Get Companies,296786,,5360306,14706866.0,,2024-06-05T19:04:49Z,2024-06-05T19:04:49Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/90123221,186013,90123221,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186013,RELATED,,,,,,,,,
22806791,TBCC-R228,RegressivoAUT_Corporate_05-06-2024T20:11:40,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
